Year,Region,Zone,Site,Total Fish Densit_mean,Total Fish Densit_SE,Fish Species richness_mean,Fish Species richness_SE,Fishery Target Spp_mean,Fishery Target Spp_SE,Grazers_mean,Grazers_SE,Corallivores_mean,Coraliivores_SE,Planktivores_mean,Planktivores_SE,Territorial Pomacentrids_mean,Territorial Pomacentrids_SE,Plectropomus spp_mean,Plectropomus spp_SE,SCI_mean,SCI_SE,LCC_mean,LCC_SE,LHC_mean,LHC_SE,MAC_mean,MAC_SE
2001,Whitsunday,Fished,HB4,,,,,10.7,3.2,,,,,,,,,2,0.8,12.9,0.5,70.4,6.8,50.4,3.5,0,0
2001,Whitsunday,Fished,HB5,,,,,7.3,2.4,,,,,,,,,2,1.3,12.6,1.3,86.4,3,40,7,0,0
2001,Whitsunday,Fished,HB6,,,,,4,1.2,,,,,,,,,1.3,0.8,12.5,2.5,70.4,5.9,50.4,3.7,0,0
2001,Whitsunday,Fished,W1,,,,,14,4.1,,,,,,,,,4.7,2.5,6,0,72,3.8,48,6.7,0,0
2001,Whitsunday,Fished,W2,,,,,23.3,3,,,,,,,,,10.7,1.9,6.4,0.9,80,1.8,40.8,4.1,1.6,1
2001,Whitsunday,Fished,W3,,,,,22.7,6.3,,,,,,,,,3.3,1.8,8.3,0.3,74.4,7.5,36.8,10.2,15.2,8.9
2001,Whitsunday,Fished,W4,,,,,16,3.1,,,,,,,,,5.3,1.3,7.4,0.7,18.4,3.7,7.2,2,48,8.4
2001,Whitsunday,Fished,W5,,,,,14.7,7.2,,,,,,,,,6,1.9,6.8,0.4,48,8.5,44,7.7,13.6,4.1
2001,Whitsunday,Fished,W6,,,,,16,4.4,,,,,,,,,6.7,2.1,4.2,0.2,16,6.1,7.2,2.3,66.4,4.7
2001,Whitsunday,NTR 1987,B1,,,,,46.7,28,,,,,,,,,17.3,10.3,5.6,0.4,65.6,4.8,43.2,1.5,0,0
2001,Whitsunday,NTR 1987,B2,,,,,19.3,7.6,,,,,,,,,13.3,4.6,8,0.7,57.6,7.4,40.8,7.1,0,0
2001,Whitsunday,NTR 1987,B3,,,,,16.7,4.1,,,,,,,,,12,3.7,4.6,0.3,87.2,3.4,54.4,5.5,0,0
2001,Whitsunday,NTR 1987,B4,,,,,25.3,15,,,,,,,,,7.3,2.4,11.3,2.8,86.4,4.1,68.8,2.7,0,0
2001,Whitsunday,NTR 1987,B5,,,,,12.7,1.9,,,,,,,,,4.7,1.7,22.2,1.5,64,7.7,52.8,5.9,1.6,1
2001,Whitsunday,NTR 1987,B6,,,,,10.7,2.2,,,,,,,,,6.7,1.8,12.8,2,41.6,5.2,26.4,8.2,0,0
2001,Whitsunday,NTR 1987,HG1,,,,,18.7,10.6,,,,,,,,,4,0.7,12.2,0.6,33.6,3.5,20,4.9,37.6,5.2
2001,Whitsunday,NTR 1987,HG2,,,,,22,3.6,,,,,,,,,9.3,1.6,20.8,1.9,64.8,4.1,37.6,3,17.6,2.7
2001,Whitsunday,NTR 1987,HG3,,,,,23.3,6.1,,,,,,,,,15.3,5,22.8,1.6,61.6,4.5,35.2,5.4,16,3.1
2001,Whitsunday,NTR 1987,HG4,,,,,18,9.1,,,,,,,,,4.7,0.8,17.5,1.3,83.2,2.9,68.8,6,6.4,2
2001,Whitsunday,NTR 1987,HG5,,,,,16.7,3.5,,,,,,,,,5.3,1.3,18.3,2.2,55.2,5.9,35.2,3.4,20.8,3.9
2001,Whitsunday,NTR 1987,HG6,,,,,16.7,4.3,,,,,,,,,8.7,3.1,15.3,0.8,31.2,2.9,18.4,3.7,36,5.5
2002,Keppel,Fished,GK1,,,,,4,2.4,,,,,,,,,0,0,5.8,1,17.6,4.1,16.8,3.4,52,4.2
2002,Keppel,Fished,GK2,,,,,6.7,2.4,,,,,,,,,1.3,0.8,7.9,1,64,3.3,56.8,3.7,0,0
2002,Keppel,Fished,GK3,,,,,24.7,7.3,,,,,,,,,14,2.4,4.4,0.4,63.2,5.9,63.2,5.9,0.8,0.8
2002,Keppel,Fished,GK4,,,,,10.7,2.4,,,,,,,,,6.7,2.6,6.5,0.3,55.2,4.1,54.4,4.1,2.4,1
2002,Keppel,Fished,GK7,,,,,10.7,4.3,,,,,,,,,7.3,2.9,7.5,1,22.4,7.9,22.4,7.9,0,0
2002,Keppel,Fished,GK8,,,,,46,12.1,,,,,,,,,26.7,4.8,7,0.6,68,6.3,68,6.3,4.8,2.3
2002,Keppel,NTR 1987,H1,,,,,47.3,17,,,,,,,,,4,1.2,12,1.3,74.4,3,72.8,3.4,0,0
2002,Keppel,NTR 1987,H2,,,,,12,3.1,,,,,,,,,6.7,3.5,5.8,0.2,76,6.3,74.4,6.1,0,0
2002,Keppel,NTR 1987,M1,,,,,24.7,5.1,,,,,,,,,14.7,3.4,3.8,0.2,55.2,7.4,55.2,7.4,24.8,6.6
2002,Keppel,NTR 1987,M2,,,,,24.7,4.8,,,,,,,,,7.3,2.4,1.5,0.4,70.4,10,70.4,10,0,0
2002,Keppel,NTR 1987,M3,,,,,14.7,3.9,,,,,,,,,2,0.8,5.6,0.3,80,4.6,79.2,5.3,0,0
2002,Keppel,NTR 1987,M4,,,,,16.7,3,,,,,,,,,3.3,1.8,7.2,0.5,21.6,6.1,21.6,6.1,0,0
2002,Palm,Fished,PE1,,,,,62.7,17.7,,,,,,,,,6.7,3.5,10.2,0.4,44.8,7.2,10.4,4.8,0,0
2002,Palm,Fished,PE2,,,,,12.7,3.9,,,,,,,,,2.7,2.7,13,0.6,65.6,3.2,55.2,4.3,9.6,2.7
2002,Palm,Fished,PE3,,,,,22,5.6,,,,,,,,,3.3,2.1,11.7,1.4,59.2,5.9,42.4,8.2,0,0
2002,Palm,Fished,PE4,,,,,14.7,2.5,,,,,,,,,3.3,1.5,10,3.1,28.8,7.1,24.8,8,0,0
2002,Palm,Fished,PE5,,,,,14.7,2.3,,,,,,,,,4,1.6,9.7,0.6,28.8,2.9,16.8,4.1,0,0
2002,Palm,Fished,PE6,,,,,10,2.4,,,,,,,,,3.3,1.5,9.5,0.7,13.6,5,6.4,4.5,0,0
2002,Palm,Fished,PS1,,,,,14.7,3.9,,,,,,,,,0.7,0.7,18.8,2.1,55.2,6.5,15.2,4.8,0,0
2002,Palm,Fished,PS2,,,,,11.3,2.9,,,,,,,,,4.7,1.3,24,0.4,40.8,1.5,35.2,2.3,2.4,2.4
2002,Palm,Fished,PS3,,,,,5.3,1.3,,,,,,,,,1.3,0.8,15.9,1,44,7.2,31.2,7.4,0.8,0.8
2002,Palm,Fished,PS4,,,,,8,2.3,,,,,,,,,3.3,1.1,6.4,0.6,36,10,20.8,8.3,0,0
2002,Palm,Fished,PS5,,,,,14.7,5.2,,,,,,,,,2,1.3,12.2,0.8,56,8.9,41.6,10.2,0,0
2002,Palm,Fished,PS6,,,,,8.7,2.5,,,,,,,,,1.3,0.8,12.7,0.8,48.8,4.6,24,4.9,0,0
2002,Palm,NTR 1987,OE1,,,,,26.7,2.1,,,,,,,,,6.7,2.4,12.7,0.6,52.8,5.3,20.8,3.9,0,0
2002,Palm,NTR 1987,OE2,,,,,15.3,2.5,,,,,,,,,4,1.9,11.9,0.5,69.6,4.7,19.2,4.6,0,0
2002,Palm,NTR 1987,OE3,,,,,44,5.8,,,,,,,,,19.3,6.4,12.9,1.2,48.8,7.4,25.6,2.7,0,0
2002,Palm,NTR 1987,OE4,,,,,24,4.1,,,,,,,,,4.7,2.5,13.2,1.2,67.2,5.6,32,8.7,0,0
2002,Palm,NTR 1987,OE5,,,,,28,3.6,,,,,,,,,10,2.4,10.1,1.5,46.4,3,21.6,5.2,0,0
2002,Palm,NTR 1987,OE6,,,,,26,3.1,,,,,,,,,8.7,1.3,17.5,1.8,64,6.3,44.8,3.4,0,0
2002,Palm,NTR 1987,OS1,,,,,41.3,13.2,,,,,,,,,10.7,4.4,19.4,0.8,18.4,1,16,1.8,0,0
2002,Palm,NTR 1987,OS2,,,,,12.7,4.5,,,,,,,,,6.7,3,7.1,1.4,26.4,5.5,18.4,3.5,0,0
2002,Palm,NTR 1987,OS3,,,,,31.3,10.9,,,,,,,,,14.7,2.7,10,1.2,65.6,4.3,28,5.4,0,0
2002,Palm,NTR 1987,OS4,,,,,12.7,2.2,,,,,,,,,7.3,2.2,11.1,2.5,24,3.6,18.4,5.5,0,0
2002,Palm,NTR 1987,OS5,,,,,26,7.6,,,,,,,,,10.7,3.4,9.8,1,44.8,8.3,23.2,4.1,0,0
2002,Palm,NTR 1987,OS6,,,,,18.7,3.4,,,,,,,,,5.3,2.3,8,2.2,55.2,7.2,19.2,6.9,0,0
2002,Whitsunday,Fished,HB1,,,,,16,6.4,,,,,,,,,2.7,2.7,17.9,1.9,36,9.7,23.2,5.9,47.2,9.6
2002,Whitsunday,Fished,HB2,,,,,13.3,3.9,,,,,,,,,3.3,1.8,13.9,0.9,46.4,8.1,36.8,7.3,43.2,6.7
2002,Whitsunday,Fished,HB3,,,,,0.7,0.7,,,,,,,,,0,0,7.1,0.5,57.6,6,36.8,4.3,7.2,1.5
2002,Whitsunday,Fished,HB4,,,,,8,2,,,,,,,,,2,0.8,6.2,0.5,78.4,6.3,57.6,7.2,0,0
2002,Whitsunday,Fished,HB5,,,,,6.7,2.8,,,,,,,,,4,2.4,7.8,0.6,72,4.2,30.4,7.8,16,4
2002,Whitsunday,Fished,HB6,,,,,4.7,1.7,,,,,,,,,1.3,0.8,6,0,78.4,3.2,60,3.3,12.8,3.2
2002,Whitsunday,Fished,W1,,,,,8,1.7,,,,,,,,,2,1.3,5.6,0.6,47.2,4.3,32.8,4.1,27.2,5.6
2002,Whitsunday,Fished,W2,,,,,12.7,3.6,,,,,,,,,6.7,1.1,17.5,1.3,55.2,7.1,36,6.3,29.6,4.5
